task_id,priority,start_time,end_time,profit,energy,task_type,status
87,10,447,2036,200.78,0.6667,1,调度中
34,3,2943,3561,63.01,0.2778,1,已完成
52,6,35,3290,117.02,0.6389,1,已完成
51,4,2251,2798,81.38,0.5833,1,调度中
6,8,622,3160,158.4,0.6806,1,已完成
53,2,2976,3316,38.81,0.2639,1,已完成
51,7,994,1831,137.51,0.5,1,调度中
31,1,3170,3460,18.38,0.6944,1,已完成
138,9,3044,3355,177.87,0.6528,1,已完成
19,4,593,2190,80.8,0.4583,1,调度中
149,10,949,2503,198.99,0.4583,1,已完成
174,2,1019,3287,42.43,0.8333,1,调度中
214,6,1175,3228,118.42,0.625,1,已完成
83,8,1192,2112,159.67,0.7639,1,调度中
129,10,2412,3512,199.02,0.3056,1,已完成
32,7,1397,1726,139.05,0.2917,1,已完成
164,2,1161,2876,44.08,0.8056,1,调度中
166,5,850,1157,96.26,0.75,1,调度中
45,5,346,1246,97.67,0.375,1,调度中
146,1,3108,3535,22.62,0.5556,1,已完成
52,5,815,1467,102.67,0.8056,1,已完成
70,8,880,1507,161.05,0.4028,1,调度中
5,3,43,3551,59.83,0.6528,1,调度中
211,3,2956,3246,59.85,0.2917,1,已完成
34,4,1493,2992,82.28,0.7222,1,调度中
98,8,1980,2226,162.6,0.7639,1,调度中
173,10,2838,2934,199.78,0.4306,1,已完成
35,1,2141,2722,18.71,0.3333,1,调度中
100,3,2608,3101,57.57,0.2917,1,已完成
86,1,1569,2221,17.78,0.6528,1,调度中
58,6,2131,2614,122.19,0.6111,1,已完成
19,1,3167,3275,15.68,0.4167,1,已完成
71,7,1260,3513,142.35,0.5556,1,调度中
13,1,2292,3287,21.24,0.5972,1,已完成
119,1,2428,2667,17.04,0.7778,1,已完成
158,7,158,914,142.41,0.6667,1,已完成
39,1,504,1029,21.34,0.5,1,已完成
66,1,3004,3454,19.22,0.8194,1,调度中
84,9,2246,3436,181,0.2361,1,调度中
189,7,1439,3219,138.62,0.3889,1,调度中
75,2,3054,3570,43.24,0.6111,1,调度中
35,9,645,1436,181.18,0.2361,1,已完成
98,9,2239,3259,178.46,0.8194,1,已完成
255,3,245,2749,59.16,0.7222,1,调度中
91,3,3411,3592,60.11,0.8333,1,调度中
97,10,2473,3330,199.14,0.5972,1,调度中
241,6,3037,3449,119.14,0.6806,1,已完成
252,6,776,1608,117.44,0.2361,1,已完成
4,7,646,1052,140.2,0.7917,1,调度中
76,1,2372,2504,23.55,0.4306,1,已完成
94,8,1529,2584,159.25,0.5694,1,调度中
35,6,3428,3595,120.35,0.5556,1,已完成
15,9,2317,2900,179.88,0.6944,1,调度中
32,3,902,1658,59.55,0.7361,1,已完成
91,3,171,2024,61.6,0.4167,1,调度中
92,6,1671,3175,120.66,0.3889,1,调度中
57,6,103,3294,119.94,0.7222,1,调度中
165,1,2045,2734,18.85,0.7778,1,已完成
156,6,1967,3359,116.6,0.5417,1,已完成
88,4,1839,2906,80.59,0.4444,1,调度中
281,3,3416,3587,58.93,0.7222,1,已完成
212,7,2799,3372,137.57,0.75,1,调度中
74,7,154,1954,141.29,0.7361,1,已完成
222,7,3468,3593,139.53,0.5278,1,已完成
62,8,1487,2771,155.69,0.5278,1,调度中
155,8,2760,3355,158.11,0.8056,1,已完成
0,10,2429,3353,202.82,0.5,1,已完成
15,8,1272,1812,159.17,0.6806,1,已完成
90,8,826,2601,158.42,0.5833,1,已完成
166,6,2434,2926,116.55,0.5,1,调度中
139,3,2088,2797,58.17,0.8194,1,已完成
118,7,1668,3513,138.21,0.5972,1,已完成
187,8,272,711,158.24,0.4028,1,已完成
0,5,2861,3332,101.79,0.4583,1,调度中
209,4,3044,3234,78.34,0.3472,1,调度中
63,5,1316,1918,98.81,0.6111,1,已完成
31,1,3119,3245,19.49,0.2639,1,已完成
189,3,2771,3516,59.37,0.2083,1,已完成
58,9,1058,2637,179.52,0.8333,1,已完成
59,6,331,579,120.33,0.75,1,已完成
138,10,2676,3454,204.02,0.7083,1,已完成
144,8,1573,3520,162.05,0.3472,1,调度中
6,5,1538,3564,105.45,0.3472,1,已完成
2,5,1269,1426,98.66,0.4167,1,已完成
114,6,1354,3113,116.04,0.5278,1,已完成
107,3,1209,1887,59.78,0.4444,1,调度中
178,2,3129,3525,36.67,0.3333,1,已完成
